Time,Price,5-Day EMA,KNN MA,Highlight
310,370.54000854492,370.39986456753263,370.247918701174,Green
311,370.23669433594,370.3454744903351,370.33590087890803,Green
312,370.04000854492,370.2436525085301,370.36323852539203,Red
313,370.10620117188,370.1978353963134,370.33734130859403,Red
314,370.08059692383,370.1587559054856,370.260583496094,Red
315,370.14999389648,370.15583523581705,370.200701904298,Red
316,370.38000488281,370.2305584514814,370.12269897461,Green
317,370.5299987793,370.3303718940876,370.151361083984,Green
318,370.73001098633,370.46358492483506,370.24935913086,Green
319,370.56500244141,370.4973907636934,370.37412109375,Green
320,370.51998901367,370.5049235136856,370.471002197266,Green
321,370.73291015625,370.58091906120706,370.545001220704,Green
322,370.45941162109,370.540416581168,370.615582275392,Red
323,370.32000732422,370.46694682885203,370.60146484375,Red
324,370.39999389648,370.444629184728,370.51946411132803,Red
325,370.36999511719,370.41975116221533,370.48646240234206,Red
326,370.54010009766,370.4598674740302,370.45646362304603,Green
327,370.45999145508,370.4599088010468,370.41790161132803,Green
328,370.5299987793,370.4832721271312,370.418017578126,Green
329,370.47409057617,370.4802116101441,370.460015869142,Green
330,370.68951416016,370.5499791268161,370.47483520508,Green
331,370.4700012207,370.5233198247774,370.53873901367405,Red
332,369.85998535156,370.3022083337049,370.524719238282,Red
333,369.54000854492,370.0481417374433,370.404718017578,Red
334,369.89001464844,369.99543270777554,370.206719970702,Red
335,370.10998535156,370.03361692237036,370.089904785156,Red
336,370.48001098633,370.1824149436902,369.973999023436,Green
337,370.62020874023,370.32834620920346,369.976000976562,Green
338,370.74990844727,370.4688669552256,370.128045654296,Green
339,370.79000854492,370.5759141517904,370.37002563476597,Green
340,370.66000366211,370.6039439885636,370.550024414062,Green
341,370.66049194336,370.62279330682907,370.660028076172,Red
342,370.60998535156,370.618523988406,370.69612426757806,Red
343,370.79998779297,370.6790119232607,370.694079589844,Red
344,370.7200012207,370.6926750224071,370.704095458984,Red
345,370.79501342773,370.72678782418143,370.69009399414,Green
346,370.91000366211,370.78785977015764,370.71709594726406,Green
347,370.90008544922,370.8252683298451,370.76699829101403,Green
348,370.75,370.8001788865634,370.82501831054606,Red
349,370.69989013672,370.76674930328227,370.81502075195203,Red
350,370.91989135742,370.8177966546615,370.810998535156,Green
351,370.41000366211,370.68186565714433,370.835974121094,Red
352,370.2799987793,370.54791003119624,370.73597412109405,Red
353,365.64010620117,368.9119754211875,370.61195678711,Red
354,366.20001220703,368.007987683135,369.58997802734405,Red
355,366.08499145508,367.36698894045,368.69000244140597,Red
356,366.16000366211,366.9646605143367,367.72302246093795,Red
357,365.14379882812,366.3577066189311,366.873022460938,Red
358,365.63000488281,366.1151393735574,365.845782470702,Green
359,364.92999267578,365.7200904742983,365.84376220703,Red
360,364.86999511719,365.4367253552622,365.58975830078,Red
361,365.2799987793,365.3844831632748,365.346759033202,Green
362,365.10998535156,365.2929838927032,365.17075805664,Green
363,365.27990722656,365.2886250039888,365.163995361328,Green
364,365.76998901367,365.4490796738825,365.09397583007797,Green
365,365.63000488281,365.50938807685833,365.26197509765603,Green
366,365.79998779297,365.6062546488956,365.41397705078003,Green
367,365.75,365.65416976593036,365.517974853514,Green
368,365.7799987793,365.6961127703869,365.64597778320206,Green
369,365.20001220703,365.5307459159346,365.74599609375,Red
370,364.80990600586,365.2904659459097,365.63200073242194,Red
371,365.56500244141,365.3819781110765,365.467980957032,Red
372,365.13000488281,365.29798703498767,365.42098388672,Red
373,364.61990356445,365.07195921147513,365.29698486328203,Red
374,364.76998901367,364.97130247887344,365.064965820312,Red
375,364.9700012207,364.970868726149,364.97896118164,Red
376,365.10998535156,365.01724093461934,365.01098022460803,Green
377,365.39001464844,365.14149883922624,364.919976806638,Green
378,365.7799987793,365.35433215258416,364.971978759764,Green
379,365.76000976562,365.4895580235961,365.203997802734,Green
380,365.95001220703,365.6430427514074,365.402001953124,Green
381,365.69500732422,365.66036427567826,365.59800415039,Green
382,365.67001342773,365.6635806596955,365.71500854492206,Red
383,366.01998901367,365.7823834443537,365.77100830078,Green
384,366.36999511719,365.9782540019658,365.819006347654,Green
385,365.92999267578,365.9621668932372,365.94100341796803,Green
386,366.33999633789,366.0881100414548,365.936999511718,Green
387,366.39001464844,366.1887449104499,366.065997314452,Green
388,366.67999267578,366.3524941655599,366.209997558594,Green
389,366.89999389648,366.5349940758666,366.341998291016,Green
390,366.83999633789,366.6366614965411,366.44799804687403,Green
391,366.83990478516,366.70440925941404,366.629998779296,Green
392,366.86999511719,366.75960454533936,366.72998046875,Green
393,366.83499145508,366.7847335152529,366.82597656249993,Red
394,367.03988647461,366.8697845017053,366.85697631835995,Green
395,367.01501464844,366.9181945506169,366.884954833986,Green
396,367.15991210938,366.99876707020456,366.919958496096,Green
397,367.29000854492,367.0958475617764,366.98395996094,Green
398,367.38031005859,367.1906683940476,367.067962646486,Green
399,366.9176940918,367.09967695996505,367.17702636718803,Red
400,366.61999511719,366.93978301237337,367.152587890626,Red
